  0.8915   0.8702   1.7917
  1.4187   0.1108   1.6390
  1.4237   0.4993   1.6489
  1.4670  -0.0139   1.6996
  1.5687   0.7845   1.8986
  1.6698  -0.2800   1.9829
  1.7353   0.2862   1.9303
  1.8266  -0.4717   1.5008
  1.8692  -0.4469   1.8380
  1.9836   0.5566   1.9829
  2.0303   0.4891   1.1398
  2.1360  -0.8144   1.7805
  2.1926  -1.0208   1.8618
  2.2895  -0.9301   1.9629
  2.4138  -1.1918   1.6790
  2.4766  -0.1281   1.9829
  2.6545   0.2089   1.3515
  2.8961   1.0778   1.7917
  3.2576  -1.0978   1.3291
  3.2577  -1.0978   1.7313
  3.2776  -0.9929   1.6292
  3.3498  -1.0177   1.2508
  3.3773   0.9767   1.7694
  3.6108   0.8607   1.8618
  3.8380  -1.0326   1.3291
  4.4011  -1.2038   1.9175
  4.5972  -0.6440   1.6292
  4.6134  -0.7156   1.8679
  4.8179  -0.5867   1.8498
  5.3479  -0.9646   1.9432
  5.4168   0.7903   1.2508
  5.7955  -0.7861   1.7420
  6.0111  -0.4953   1.1586
